model,MAE,RMSE
18-2-8-8-16_4-3-2-2-16-1-0.95,0.45558068,0.62399256
18-3-10-8-16_4-3-3-2-16-1-0.9,0.45848516,0.5788468
18-2-10-8-16_4-1-3-2-16-2-0.9,0.4713685,0.6262321
18-2-9-8-16_4-3-3-2-16-1-0.75,0.4733888,0.6862809
18-3-9-8-16_4-3-3-2-16-1-0.75,0.47442472,0.58755225
18-3-9-8-16_4-3-3-2-16-1-0.9,0.47683567,0.5930147
18-3-9-8-16_4-1-3-2-16-2-0.9,0.47707528,0.56458056
18-3-8-8-16_4-3-2-2-16-2-0.95,0.48063895,0.605505
18-2-9-8-16_4-3-3-2-16-2-0.75,0.48229504,0.5996245
18-3-10-8-16_4-1-3-2-16-1-0.9,0.4886022,0.63353366
18-3-8-8-16_4-1-3-2-16-2-0.95,0.49178466,0.6349195
18-3-10-8-16_4-1-3-2-16-2-0.9,0.4931137,0.69273597
18-2-8-8-16_4-3-2-2-16-2-0.95,0.5051162,0.62714005
18-2-9-8-16_4-3-2-2-16-1-0.75,0.5108017,0.63150793
12-2-4-8-16_4-3-3-2-8_4-1-0.95,0.5271101,0.6358171
18-2-10-8-16_4-3-2-2-16-2-0.95,0.52756953,0.68780446
18-3-10-8-16_4-3-3-2-16-2-0.75,0.53664726,0.6388497
18-2-10-8-16_4-3-2-2-16-2-0.75,0.5631239,0.713356
18-3-9-8-16_4-1-3-2-16-1-0.95,0.5648288,0.68839294
18-3-8-8-16_4-3-3-2-16-1-0.9,0.5883452,0.6983835
18-2-9-8-16_4-3-2-2-16-1-0.9,0.595919,0.7234175
12-4-4-8-16_4-3-3-2-8_4-2-0.95,0.61213773,0.72546434
12-2-4-8-16_4-1-2-2-8_4-1-0.95,0.6507196,0.7376038
18-2-9-8-16_4-3-3-2-16-2-0.9,0.6523691,0.7430461
12-4-4-8-16_4-3-3-2-8_4-1-0.95,0.67141366,0.7610955
18-3-8-8-16_4-3-3-2-16-2-0.95,0.69069445,0.7805236
12-2-4-8-16_4-1-2-2-8_4-1-0.95,0.7371485,0.8155526
18-3-9-8-16_4-3-3-2-16-2-0.75,0.78642035,0.874291
18-2-8-8-16_4-3-3-2-16-1-0.95,0.7937322,0.8804878
18-2-10-8-16_4-3-3-2-16-1-0.9,0.81288564,0.88961893
18-3-8-8-16_4-3-3-2-16-1-0.95,0.84023553,0.92744535
18-2-10-8-16_4-3-3-2-16-1-0.95,0.8671013,0.95341796
18-2-9-8-16_4-3-3-2-16-1-0.95,0.89484406,0.97279596
18-3-8-8-16_4-3-3-2-16-2-0.75,0.962276,1.0405107
18-3-9-8-16_4-3-3-2-16-2-0.9,1.1083359,1.1763637
18-3-9-8-16_4-3-3-2-16-2-0.95,1.4085807,1.4809073
18-2-8-8-16_4-3-3-2-16-2-0.95,1.6629432,1.7055163
18-2-8-8-16_4-3-3-2-16-2-0.75,1.6790442,1.7119133
18-2-10-8-16_4-3-3-2-16-2-0.95,1.7643508,1.8271617
18-2-8-8-16_4-3-3-2-16-2-0.9,1.8367299,1.8848011
18-3-10-8-16_4-3-3-2-16-2-0.95,2.0681121,2.12999
18-3-8-8-16_4-3-3-2-16-2-0.9,2.1216986,2.1597161
18-3-9-8-16_4-3-3-2-16-1-0.95,2.1442475,2.1976995
18-3-10-8-16_4-3-3-2-16-2-0.9,2.1477213,2.1859
18-2-9-8-16_4-3-3-2-16-2-0.95,2.225695,2.2700362
18-2-10-8-16_4-3-3-2-16-2-0.9,2.231252,2.2866476
18-2-8-8-16_4-3-3-2-16-1-0.75,2.6375406,2.6861298
model,MAE,RMSE
model,MAE,RMSE
model,MAE,RMSE
model,MAE,RMSE
