model,MAE,RMSE
18-4-8-8-16_4-1-3-2-16-2-0.5,0.023509553,0.0343972
18-2-10-4-16_4-1-2-2-16-2-0.75,0.023548273,0.0350368
18-4-10-8-16_4-1-3-2-16-2-0.75,0.023588138,0.034757398
18-4-10-8-16_4-1-3-2-16-1-0.75,0.023677133,0.03445784
18-2-8-8-16_4-1-3-2-16-2-0.95,0.023928456,0.035019122
18-4-10-4-16_4-1-2-2-16-2-0.5,0.023966735,0.039137345
18-4-10-8-16_4-1-3-2-16-2-0.5,0.025365489,0.03532606
18-2-10-8-16_4-1-3-2-16-2-0.5,0.025464518,0.035967276
18-2-8-8-16_4-1-2-2-16-2-0.95,0.02642646,0.037118264
18-4-10-8-16_4-1-2-2-16-2-0.95,0.026847146,0.0369065
18-2-8-4-16_4-1-2-2-16-2-0.5,0.027338846,0.039186224
18-2-8-4-16_4-1-2-2-16-2-0.95,0.03208894,0.048329137
18-2-8-4-16_4-1-2-2-16-1-0.5,0.035370525,0.055052258
18-2-10-8-16_4-1-2-2-16-2-0.95,0.07407222,0.07667634
model,MAE,RMSE
model,MAE,RMSE
model,MAE,RMSE
