
model,MAE,RMSE
24-4-10-8-16_4-2-2-2-128-1-0.95,0.21764721,0.22618185
24-4-8-8-32_4-2-2-2-64-2-0.95,0.21764721,0.22618185
24-2-8-8-16_4-2-2-2-128-1-0.95,0.21764721,0.22618185
18-2-8-8-16_4-2-3-2-128-1-0.95,0.0422993,0.047575112
18-2-10-8-16_4-2-3-2-128-1-0.95,0.0350213,0.04270536
24-2-8-8-16_4-2-3-2-128-1-0.95,0.06951937,0.077416696
24-2-10-8-16_4-2-2-2-128-2-0.95,0.21764721,0.22618185
24-2-10-8-16_4-2-2-2-64-2-0.95,0.21764721,0.22618185
24-2-10-8-16_4-2-3-2-128-1-0.95,0.11021454,0.12160817
18-2-8-8-32_4-2-2-2-64-2-0.95,0.21764721,0.22618185
18-4-8-8-16_4-2-3-2-128-1-0.95,0.045580767,0.052419573
18-4-8-8-16_4-2-2-2-64-1-0.95,0.21764721,0.22618185
18-4-10-8-16_4-2-3-2-128-1-0.95,0.03946191,0.051453903
24-4-8-8-16_4-2-3-2-128-1-0.95,0.059477426,0.0662101
24-4-10-8-16_4-2-3-2-128-1-0.95,0.045423478,0.05289374

